date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:33	28110/28110	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-6dce%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:34	3636/3636	---MCZ	200	added ('OK')	text/html	etag:W/%225f48f73e-e34%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:35	4883/4883	---MCZ	200	added ('OK')	text/html	etag:W/%225f48f73e-1313%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signup.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signup.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:36	2766/2766	---MCZ	200	added ('OK')	text/html	etag:W/%225f48f73e-ace%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-404.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-404.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:37	28603/28603	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-6fbb%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-faq.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-faq.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:38	20381/20381	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-4f9d%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-news-grid.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-news-grid.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:39	32042/32042	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-7d2a%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-product-catalogue.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-product-catalogue.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:40	34615/34615	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-8737%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-project-list.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-project-list.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:41	34650/34650	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-875a%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-order.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-order.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:42	40904/40904	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-9fc8%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-pricing.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-pricing.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:43	24747/24747	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-60ab%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/landing-sass.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/landing-sass.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:44	26016/26016	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-65a0%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-accordion.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-accordion.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:45	25455/25455	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-636f%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-alerts.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-alerts.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:46	21519/21519	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-540f%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-avatar.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-avatar.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:47	21541/21541	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-5425%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-badge.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-badge.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:48	20881/20881	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-5191%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-breadcrumbs.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-breadcrumbs.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:49	28990/28990	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-713e%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-buttons.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-buttons.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:50	33011/33011	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-80f3%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-cards.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-cards.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
12:37:51	27999/27999	---MCZ	200	added ('OK')	text/html	etag:W/%225f55e49c-6d5f%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-carousel.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/elem-carousel.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html)
